Meses,numero de vuelos totales mensuales,porcentaje de vuelos a nivel mundial,
Enero,5,%16.129,
Febrero,2,%6.4516,
Diciembre,4,%12.9032,
Noviembre,3,%9.6774,
Junio,2,%6.4516,
Octubre,7,%22.5806,
Julio,4,%12.9032,
Septiembre,2,%6.4516,
Marzo,2,%6.4516,


Paises,viajes totales por pais,porcentaje de viajes a nivel mundial,
Emiratos Arabes,4,%12.9032,
Tailandia,10,%32.2581,
Alemania,4,%12.9032,
Brasil,1,%3.2258,
Canada,1,%3.2258,
Estados Unidos,4,%12.9032,
Indonesia,1,%3.2258,
Japon,1,%3.2258,
Mexico,3,%9.6774,
Singapur,1,%3.2258,
Catar,1,%3.2258,

Diccionario de los meses/organizacion fechas: {'Enero': 5, 'Febrero': 2, 'Diciembre': 4, 'Noviembre': 3, 'Junio': 2, 'Octubre': 7, 'Julio': 4, 'Septiembre': 2, 'Marzo': 2}
Diccionario de los registros de los vuelos/paises: {'Emiratos Arabes': 4, 'Tailandia': 10, 'Alemania': 4, 'Brasil': 1, 'Canada': 1, 'Estados Unidos': 4, 'Indonesia': 1, 'Japon': 1, 'Mexico': 3, 'Singapur': 1, 'Catar': 1}
